,Unnamed: 0,model,sim,additional_data,3G,4G,5G,Wi-Fi,VoLTE,Vo5G,NFC,extra_conecctions
262,262,POCO C31,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
263,263,Apple iPhone XR2,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
268,268,Redmi Note 11 Pro 2023,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, IR Blaster,No data,No data,No data
270,270,Samsung Galaxy A32 (8GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
271,271,Nokia 2720 V Flip,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
273,273,Infinix Note 12i (2022),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
278,278,Tecno Pova 3 (6GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
279,279,Realme C31 (4GB RAM + 64GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
282,282,Apple iPhone 14 Mini,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
285,285,Samsung Galaxy A23 (8GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
288,288,Infinix Note 12 Pro,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
291,291,Samsung Galaxy M13,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
293,293,Xiaomi Redmi Note 10S (8GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, IR Blaster,No data,No data,No data
294,294,Realme C11 2021 (4GB RAM + 64GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
299,299,Xiaomi Redmi 10A,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
300,300,Vivo Y01A,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
302,302,Realme C30 (3GB RAM + 32GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
304,304,Xiaomi Redmi 10 (6GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
309,309,Samsung Galaxy A13 (4GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
315,315,itel S16 Pro,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
325,325,Tecno Spark 9,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
327,327,Xiaomi Redmi Note 10 Pro (6GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, IR Blaster,No data,No data,No data
329,329,Infinix Hot 20 Play,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
330,330,Vivo T1x (6GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
336,336,Infinix Note 12,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
337,337,Samsung Galaxy A03 Core,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
338,338,Motorola Moto G60,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
340,340,Xiaomi Redmi Note 11S,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, IR Blaster,No data,No data,No data
341,341,Xiaomi Redmi 9 Activ,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
343,343,Samsung Galaxy A04,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
344,344,POCO M4 Pro 4G (6GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, IR Blaster,No data,No data,No data
350,350,Motorola Moto G22,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
351,351,Xiaomi Redmi 9i Sport,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
352,352,Jio JioPhone Next,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
353,353,Vivo Y93,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
355,355,Realme C30s,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
356,356,Vivo Y22s,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
357,357,OPPO A77,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
358,358,Xiaomi Redmi 10A Sport,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, IR Blaster,No data,No data,No data
360,360,Realme 9 4G (8GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
367,367,Tecno Spark 9 (4GB RAM + 64GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
372,372,Poco X3,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, IR Blaster,No data,No data,No data
373,373,Samsung Galaxy S20 FE,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
374,374,Google Pixel 4,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
375,375,Samsung Galaxy S10 Plus,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
378,378,OPPO F21 Pro 4G,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
381,381,Samsung Galaxy A71,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
382,382,Vivo Y02s,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
383,383,Letv Y2 Pro,Dual Sim,No FM Radio, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
384,384,Tecno Spark 8C (4GB RAM + 64GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
388,388,Samsung Galaxy A04s,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
389,389,Realme 9i (6GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
391,391,OPPO F19,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
393,393,Samsung Galaxy M32 Prime Edition,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
394,394,Oukitel WP19,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
396,396,Xiaomi Redmi Note 10 Lite (6GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, IR Blaster,No data,No data,No data
399,399,itel P36,Dual Sim,Bluetooth, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
400,400,Jio JioPhone 2,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
403,403,Poco C50,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
405,405,Realme 9i (4GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
413,413,Samsung Galaxy A03,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
418,418,Xiaomi Redmi 10A (6GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
427,427,OPPO A55 4G (6GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
430,430,Xiaomi Redmi Note 10,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, IR Blaster,No data,No data,No data
432,432,Samsung Galaxy M32 Prime Edition (6GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
433,433,Tecno Camon 19 Pro Mondrian Edition,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
436,436,OPPO A16e,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
437,437,Motorola Moto E32,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
438,438,Xiaomi Redmi Note 11S (8GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, IR Blaster,No data,No data,No data
440,440,Samsung Galaxy A52 (8GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
441,441,Poco X3 Pro,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, IR Blaster,No data,No data,No data
442,442,Xiaomi Redmi 9A,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
443,443,Samsung Galaxy A32,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
444,444,Motorola Moto G13,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
447,447,Infinix Smart 6 HD,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
449,449,Realme C35 (4GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
450,450,Infinix Hot 12,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
452,452,Vivo Y53s,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
453,453,Tecno Phantom X,Dual Sim,Bluetooth, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
454,454,Samsung Galaxy M04 (4GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
455,455,Redmi 12C,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
457,457,Sony Xperia L5 5G,Single Sim,No data, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
459,459,Tecno Spark 8 Pro,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
460,460,Xiaomi Redmi 10 Prime,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, IR Blaster,No data,No data,No data
461,461,Samsung Galaxy F22,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
465,465,Samsung Galaxy F13 (4GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, NFC,No data,No data,No data
466,466,Nokia G11 Plus,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
467,467,Infinix Hot 12 Play,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
471,471,Realme Narzo 50i,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
473,473,Nokia 110 4G,Dual Sim,No data, 3G,4G, VoLTE,No data,No data,No data,No data,No data
474,474,Samsung Galaxy M32,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
476,476,Xiaomi Poco F1,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
478,478,Lyf Earth 1,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
479,479,Motorola Moto E13,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
480,480,Tecno Pop 6 Pro,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
483,483,Huawei Mate 50 RS Porsche Design,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi, NFC, IR Blaster,No data,No data
485,485,iQOO Z6 4G (6GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
488,488,Vivo Y3 (4GB RAM + 128GB),Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
490,490,Tecno Pova 4 Pro,Dual Sim,No data, 3G,4G, VoLTE, Wi-Fi,No data,No data,No data,No data
